,track,artist,genre
0,BIBI Vengeance,BIBI,
1,KAZINO,BIBI,
2,Animal Farm,BIBI,
3,BAD SAD AND MAD,BIBI,
4,Restless,BIBI,
5,MotoSpeed 24,BIBI,
6,Maybe if,BIBI,
7,JOTTO,BIBI,
8,PADO,BIBI,
9,Witch Hunt,BIBI,
10,PIRI the dog,BIBI,
11,Blade,BIBI,
12,Eat My Love,BIBI,
13,Birthday Cake,BIBI,
14,Wet Nightmare,BIBI,
15,NAAN,BIBI,
16,Fly with me,BIBI,
17,Timeless,BIBI,
18,Give More Care Less,BIBI,
19,Sparkling,CHUNG HA,
20,XXXX,CHUNG HA,
21,Louder,CHUNG HA,
22,California Dream,CHUNG HA,
23,Good Night My Princess,CHUNG HA,
24,Love Me Out Loud,CHUNG HA,
25,Nuh-Uh,CHUNG HA,
26,A Star in the dawn,CHUNG HA,
27,Killing Me,CHUNG HA,
28,Someday,CHUNG HA,
29,Bicycle,CHUNG HA,
30,X,CHUNG HA,
31,Stay Tonight,CHUNG HA,
32,Masquerade,CHUNG HA,
33,Flying on Faith,CHUNG HA,
34,Luce Sicut Stellae,CHUNG HA,
35,Bother Me,CHUNG HA,
36,Chill,CHUNG HA,
37,All Night Long,CHUNG HA,
38,Everybody Has,CHUNG HA,
39,Come N Goes,CHUNG HA,
40,Roller Coaster,CHUNG HA,
41,Snapping,CHUNG HA,
42,Bad Boy,CHUNG HA,
43,Love U,CHUNG HA,
44,Chica,CHUNG HA,
45,Be Yourself,CHUNG HA,
46,My Friend,CHUNG HA,
47,Everybody Has,CHUNG HA,
48,Young In Love,CHUNG HA,
49,Call It Love,CHUNG HA,
50,Flourishing,CHUNG HA,
51,BB,CHUNG HA,
52,Cherry Kisses,CHUNG HA,
53,Drive,CHUNG HA,
54,From Now On,CHUNG HA,
55,How about you,CHUNG HA,
56,Offset,CHUNG HA,
57,Do It,CHUNG HA,
58,Bad Boy,CHUNG HA,
59,Remind of You,CHUNG HA,
60,Hands on Me,CHUNG HA,
61,Make a Wish,CHUNG HA,
62,Cosmic Dust,CHUNG HA,
63,Week,CHUNG HA,
64,Week,CHUNG HA,
65,Pit-A-Pat,CHUNG HA,
66,Inside,Dumbfoundead,
67,Hyung,Dumbfoundead,
68,Cool and Calm,Dumbfoundead,
69,Water,Dumbfoundead,
70,Harambe,Dumbfoundead,
71,Outside,Dumbfoundead,
72,Rocket Man,Dumbfoundead,
73,Ganghis Khan,Dumbfoundead,
74,Safe,Dumbfoundead,
75,Kill Me,Dumbfoundead,
76,We Might Die,Dumbfoundead,
77,Are We There Yet,Dumbfoundead,
78,All Alone,Dumbfoundead,
79,Clear,Dumbfoundead,
80,Growing Young,Dumbfoundead,
81,Murals,Dumbfoundead,
82,Different Galaxies,Dumbfoundead,
83,Korean Jesus,Dumbfoundead,
84,Green,Dumbfoundead,
85,New Chick,Dumbfoundead,
86,Mellow Yellow,Dumbfoundead,
87,BALI,Rich Brian,
88,Iced Out Gold Chain,Guapdad 4000,
89,Black Iverson,Guapdad 4000,
90,Red Flags,Guapdad 4000,
91,Alpha,Guapdad 4000,
92,Platinum Falcon,Guapdad 4000,
93,Cheap,Guapdad 4000,
94,Hoe,Guapdad 4000,
95,Trade Places With Them Jeans,Guapdad 4000,
96,I Need Bands,Guapdad 4000,
97,Greedy,Guapdad 4000,
98,Money,Guapdad 4000,
99,California,Guapdad 4000,
100,Bitch Im On,Guapdad 4000,
101,Storm,Higher Brothers,
102,Made In China,Higher Brothers,
103,Empire,Higher Brothers,
104,Flexing So Hard,Higher Brothers,
105,Flo Rida,Higher Brothers,
106,WeChat,Higher Brothers,
107,Gong Xi Fa Cai,Higher Brothers,
108,Isabellae,Higher Brothers,
109,16 Hours,Higher Brothers,
110,Diamond,Higher Brothers,
111,Young Master,Higher Brothers,
112,Nothing Wrong,Higher Brothers,
113,Yahh,Higher Brothers,
114,Room Service,Higher Brothers,
115,Wudidong,Higher Brothers,
116,Drive You Home,Jackson Wang,
117,LMLY,Jackson Wang,
118,Blow,Jackson Wang,
119,100 Ways,Jackson Wang,
120,Come Alive,Jackson Wang,
121,Pretty Please,Jackson Wang,
122,Dopamine,Jackson Wang,
123,Dead,Jackson Wang,
124,BULLET TO THE HEART,Jackson Wang,
125,Cruel,Jackson Wang,
126,Vibes,Jackson Wang,
127,Go Ghost,Jackson Wang,
128,The Moment,Jackson Wang,
129,Blue,Jackson Wang,
130,Blackout,Jackson Wang,
131,Dawn of us,Jackson Wang,
132,Papillon,Jackson Wang,
133,Poison,Jackson Wang,
134,Oxygen,Jackson Wang,
135,In My Bed,Jackson Wang,
136,ON THE ROCKS,Jackson Wang,
137,OKAY,Jackson Wang,
138,X,Jackson Wang,
139,Die For You,Joji,
140,Glimpse of Us,Joji,
141,SLOW DANCING IN THE DARK,Joji,
142,Sanctuary,Joji,
143,Feeling Like The End,Joji,
144,YEAH RIGHT,Joji,
145,Like You Do,Joji,
146,NIGHT RIDER,Joji,
147,Will He,Joji,
148,Daylight,Joji,
149,1AM FREESTYLE,Joji,
150,Run,Joji,
151,Demons,Joji,
152,TEST DRIVE,Joji,
153,Afterthought,Joji,
154,ATTENTION,Joji,
155,Before The Day Is Over,Joji,
156,Ew,Joji,
157,Window,Joji,
158,WANTED U,Joji,
159,Gimme Love,Joji,
160,Plastic Taste,Joji,
161,Gospel,Rich Brian,
162,Achoo,Keith Ape,
163,Mull,Keith Ape,
164,All Alright,Keith Ape,
165,WeChat,Higher Brothers,
166,Face Pucker,Keith Ape,
167,Here We Go Again,Keith Ape,
168,Hydro Ninja,Keith Ape,
169,Diamonds,Keith Ape,
170,Ape Sounds,Keith Ape,
171,Yuh Dig,Keith Ape,
172,Eyes Wide Shut,Keith Ape,
173,Live long and soul lives,Keith Ape,
174,Xen,Keith Ape,
175,New Bap,Keith Ape,
176,UL-UM,Keith Ape,
177,The Awakening,Keith Ape,
178,On My Grind,Keith Ape,
179,MAGICIAN,Lexie Liu,
180,MIRA,Lexie Liu,
181,FORTUNA,Lexie Liu,
182,Manta,Lexie Liu,
183,GANMA,Lexie Liu,
184,Mulan,Lexie Liu,
185,Whenever,Lexie Liu,
186,SHADOW,Lexie Liu,
187,dance dance,Lexie Liu,
188,Sleep Away,Lexie Liu,
189,RRR,Lexie Liu,
190,Bad Dream,Lexie Liu,
191,Deep Down,Lexie Liu,
192,Nada,Lexie Liu,
193,Like A Mercedes,Lexie Liu,
194,Love and Run,Lexie Liu,
195,Hat Trick,Lexie Liu,
196,String Theocracy,Mili,
197,Ga1ahad and Scientific Witchery,Mili,
198,Summoning 101,Mili,
199,RTRT,Mili,
200,Bathtub Mermaid,Mili,
201,Red Dahlia,Mili,
202,Victim,Mili,
203,Vitamins,Mili,
204,Utopiosphere,Mili,
205,Camelia,Mili,
206,Mirror Mirror,Mili,
207,Nine Point Eight,Mili,
208,Mushrooms,Mili,
209,New Tooth,Rich Brian,
210,Sydney,Rich Brian,
211,DOA,Rich Brian,
212,Love In My Pocket,Rich Brian,
213,BALI,Rich Brian,
214,Glow Like Dat,Rich Brian,
215,Drive Safe,Rich Brian,
216,The Sailor,Rich Brian,
217,100 Degrees,Rich Brian,
218,Who That Be,Rich Brian,
219,Kids,Rich Brian,
220,Slow Down Turbo,Rich Brian,
221,Confetti,Rich Brian,
222,Curious,Rich Brian,
223,Vacant,Rich Brian,
224,No Worries,Rich Brian,
225,Cold,Rich Brian,
226,Gospel,Rich Brian,
227,Seventeen,Rich Brian,
228,Chaos,Rich Brian,
229,Trespass,Rich Brian,
230,See Me,Rich Brian,
231,Amen,Rich Brian,
232,Flight,Rich Brian,
233,Occupied,Rich Brian,
234,Lovers In The Night,Seori,
235,Running Through The Night,Seori,
236,Wicked,Seori,
237,Trigger,Seori,
238,Hairdryer,Seori,
239,Really High,Seori,
240,Fairy Tale,Seori,
241,I Wanna Cry,Seori,
242,Beautiful Night,Seori,
243,I Love You 3000,Stephanie Poetri,
244,Breakfast in Bed,Stephanie Poetri,
245,Do You Love Me,Stephanie Poetri,
246,Picture Myself,Stephanie Poetri,
247,Selfish,Stephanie Poetri,
248,Honeymoon,Stephanie Poetri,
249,3PM,Stephanie Poetri,
250,Straight To You,Stephanie Poetri,
251,Touch,Stephanie Poetri,
252,IRL,Stephanie Poetri,
253,How We Used To,Stephanie Poetri,
254,Little Lifetimes,Stephanie Poetri,
255,Daydreaming,Stephanie Poetri,
256,Paranoia,Stephanie Poetri,
257,BOY OF THE YEAR,Warren Hue,
258,WEST,Warren Hue,
259,WEST,Warren Hue,
260,omomo punk,Warren Hue,
261,Star in Love,Warren Hue,
262,YELLOW,Warren Hue,
263,blue jeans,Warren Hue,
264,candy choppa,Warren Hue,
265,omomo punk,Warren Hue,
266,blue jeans,Warren Hue,
267,sugarbaby,Warren Hue,
268,head over heels,Warren Hue,
269,candy choppa,Warren Hue,
270,bye bye sugartown,Warren Hue,
271,lollipop thug,Warren Hue,
272,pluto,Warren Hue,
273,RUNAWAY W ME,Warren Hue,
274,HANDSOME,Warren Hue,
275,CHORDS AND PRESSURES,Warren Hue,
276,THIRTYNINE,Warren Hue,
277,HANDSOME,Warren Hue,
278,DEMOSTAR BEENLIT,Warren Hue,
279,RUNAWAY W ME,Warren Hue,
280,JADE,Warren Hue,
