filtered_lyrics,primary_genre
 Maybe If IWoke up in the morningHearing your voiceMaybe If I was with you The distance between you and meIt never seems to disappear I would try try try Only if youIf you come The distance between you and meIt never seems to disappear ,Pop
 SPARKLING Come and talk to me baby La la la la Love me Tell me what to do what to doTouch Ah hoo Ouch Ah hoo Tell me what to do what to do Ah yah ooh no away Sparkle Oh baby you re all mine mine I I I Oh baby you re all mine mine I I I Drop it So oh oh oh oh oh you make me sparkle Ah Oh oh oh oh oh oh I ll be your sparkleSparkling flavor No no oh my favorite Take me all the way oh Fallin lovin I ma dive inGosh Ah hoo Crush Ah hoo Tell me what to do what to do Ah yah ooh no oh Sparkle ,Pop
 Louder Hey Say No matter what it is I will be listeningWay Ah ah ah Free louder louder all the hater haterIt s time to raise our voice Raise our voice Let s go and make some noise future future Breakdown Hey Hey Louder louder Pray Okay Yeah you are Brave Ah ah ah louder louder all the hater haterIt s time to raise our voice Raise our voice Let s go and make some noise future futur ,Pop
 California Dream broken hmm hmm ocean romantic Come on California girls on the beachOn the West CoastBaby let s go let s goGimme that Hollywood heatMy California dream Post Chorus Ooh ooh ooh ooh ooh my California dreamOoh ooh ooh ooh ooh that s where I wanna beOoh ooh ooh ooh ooh my California dreamOn the West Coast baby let s go let s go,Pop
 Good Night My Princess anybody home Ooh I know there s no one Then you play my favorite song again I don t wanna cryEvery night I try It breaks my heart in two Good night my princess in my dream my favorite song again I don t wanna cryEvery night I try It breaks my heart in two Good night my princess,Pop
 Love Me Out Loud Cause the silence it always hurts soundIf you love me then scream and shoutDon t wanna lose ya but you re fading outSo if you love me Love me out loudOut loud out loudLove me out loud Love me out loud Out loud out loud Love me out love me out loud love me out loud love me out Hear the roar Gotta scream until my lungs run out soundIf you love me then scream and shoutDon t wanna lose ya but you re fading outSo if you love me,Pop
 Nuh Uh Uh nuh nuh nuh nuh uh I know you still like me Uh huh Affecting your psyche likeUh huh nuh uh uh huh Nuh uh nuh uh uh huh my whole damn style fascinating yeah yeah yeahI m work of art I ll take your heart get it racingMaking you stop making you stare cause you know I m rare Right Wanna wanna wannabe right I m the one I m the real oneWanna wanna wannabe right nuh uhBad bad for the historyGood God I m a masterpiece Right Wanna wanna wannabe right I m the one I m the real one Real one Post Chorus Nuh uh uh uh uh uh wannabe right Nuh uh uh uh uh uh and you know it huhNuh uh uh uh uh uh wannabe right Yeah the real one yeah yeah lie,Pop
 ,Pop
 Killing Me Everything feels so strange Everything now has changed Lost in the maze now I m insane hide and seek Stuck with you blueA little too soon It s killing me killing me It s killing me killing meKilling me uh oh oh oh It s killing me killing me baby When does it end Try to pretend Something just fell apart broken heart Stuck with you spin blueA little too soon,Pop
 Someday One day Someday Someday One day SomedaySomedayOne day Someday,Pop
 X yeah You know you messed up boy Interlude You should ve loved me at my worstNow you just watch me on your TV screen yeah You know you messed up boy ,Pop
I feel you All the time Warning warning ah Na na na Stay tonight stay tonightStay by my sideStay tonight stay tonight stay sta a a ay Stay with me woah oh Post Chorus Tonight stay tonightTell me what you wanna doRun away or stay toni ah tonightToni ah tonight toni ah tonightTell me what you wanna doRun away or stay tonight Bridge Ah Stay tonight stay tonightStay by my sideStay tonight stay tonight stay,Pop
 Masquerade You can find me right You can find me right You can find me right masquerade masquerade Stepping clapping slow down down down down slow down masquerade oh you there you there masquerade Post Chorus You can find me right You can find me right You can find me right I like it like it dum dum dum du dum dum dum Too much color Oh yeah yeah Stepping clapping slow down down down down slow down,Pop
You re exactly what you re meant to beOh no there ain t nothing wrong with youI lift you up so that you can seeOh what your ex has done to you I ll always treat you differentSo why are you judging me babe I think the scars are healing thenOh but the feelings back again I m out of luck out of time I ve been out of my mindNow you left but you still can t leave her behindWhen I speak in a voice that you hear isn t mineYou said Give me some time can t you see that I m trying She keeps weighting us downI keep wondering if you wanna stayCan t seem to get off the groundBut I keep trying to fly on faith Post Chorus No matter what you say you got me flying on faith yeahNo matter what you say you got me flying on faith I let you tell me what s wrong with meOh when I don t take it out on youBut when I tell you what s wrong with youOh boy you always got an attitude I ll always treat you differentSo why are you judging me babe I think the scars are healing thenOh but the feelings back again,Pop
 Luce Sicut Stellae Ooh yeah yeahNo yeahShine for shine for me tonight Oh Let it shine for me tonight Ooh ooh ooh ooh ooh all day Ooh ooh ooh ooh ooh La la la la La la la la you knowLa la la la Let s get it right now Hoping dreaming wishing one shot One shot Ooh yeah yeah ,Pop
 Oh whoa yeah yeahOh yeah yeah Uh uh uh Ooh ooh ooh Ooh ooh ooh Post Chorus Oh whoa oh oh oh oh oh oh oh oh Oh whoa oh oh oh oh oh oh oh oh Oh whoa oh oh oh oh yeah yeahOh yeah yeah ,Pop
 Chill Ah ah whoa chill Ah ah whoa chill everyday lonely lonely Friday Baby I wanna dance with youShining my youthStyle sweat dripping off meJust cool Baby paradise chill I won t stop this Chill chill chill Just feel it feel it feel it Feel A queen bee in this place uh uh yeah bomb bomb bomb and say my name ,Pop
 All Night Long If I go blind It s alright All day long All night long  If you go blind It s alright love is blind ,Pop
 ,Pop
 Comes N Goes hurricane You re making it It comes and goes comes and goesOoh it comes and goes ooh hurricane You re making it It comes and goes,Pop
 I remember very first time in loveI remember oh ohI remember oh oh oh oh oh so I m in loveI remember oh ohI remember whoa babyI need your love oh ohI need your love oh oh oh oh oh I want you roller coaster ooh ahhRoller coaster oh whoaI need your love loveBaby your love love  uh huh  babyI need your love oh ohI need your love oh oh oh oh oh,Pop
 Snapping Mmh don t make me love you Yeah Really freaky baby Doesn t matter what you baby hate or love Hate or love drop me off take it off yeah Snapping snapping Snapping snapping Snapping snapping I will let you go Post Chorus I know I knowI don t I don t Care Snapping oohSnappin snappin Ooh I know I knowI don t I don t Mind Snapping oohSnappin snappin Baby I feel you Yeah perfume Shoo go on fade away purple rain ,Pop
HangulDoo Doo Doop Doo Doo Doop You I don t really mind ah ha He s got show So danger Make me sad So for now I ll enjoy the rideTake a swing with me oh yeah watch your back I got a bad boy bad boy bad boy so bad I got a bad boy bad boy bad boy oh he s so so bad ,Pop
 Love U Make me feel so high I really want it deep brown eyes I really want it not afraid not a friend I just wanna love you Oh I don t know it Oh oh on my mind love you Oh oh Post Chorus I just wanna wanna love youYou make me Oh oh I just wanna wanna love youOoh whoa I really want it Oh I really want it ,Pop
 Chica Ay s chica true self always messageYou gotta lead your wayAnd you will be okay colors of blue beautiful it is true ready to move Show me your love Chica chica s you ve got it allChica chica s you re beautifulLet it all out let your feelings outLet the world know what you re all about Say it say it Chica chica s you ve got it allChica chica s you re living it like you wannaOoh,Pop
 Be Yourself ooh ooh yeah yeahWhatever you do yeah yeah on yeah be yourself You ooh no more Are you ready Be yourself be yourself be okay like itGet it right keep it low be yourselfYou ooh ooh you ooh ooh yeahYou ooh ooh you ooh ooh yeah Just be yourself be yourself yeah yeah we go hardLet s get get get it yeah,Pop
  CHUNG HA Pre Chorus CHUNG HA Chorus CHUNG HA my friend Ooh  pH gimme that I m serious uh huh yeah Maybe I just can t hide damn Pre Chorus CHUNG HA ,Pop
 ,Pop
  Interlude Okay Let s do thisNow step right thereAnd move like this That s right Dance to itIt s such a good song for you and me Come on Let s groove with meNow step right there Right there And move like this Yeah Dance to itOoh ,Pop
 Call It Love I I call it loveI I call it love I I call it loveI call it love  ,Pop
 Flourishing Yeah I ve got colours of my own I gotta paint them outYeah I wanna go wildGive the canvas what it needs I wanna make them proudI am liking this style I keep loving and that s how I winI m gon be doing my own thingVibin in a new paradiseI ll keep hustling never give inPushin it to the limitVibin in a new paradise Yeah Patience reliefGo deep down freelyBeautiful things no Refrain I m working hard to spell it outFollow my feelin Break down my walls I ll reach my soulYou give me reasons Refrain Just let it outNow I ll make you see what I m about noI m working hard to spell it outFollow my feelin Break down my walls I ll reach my,Pop
 Instrumental OohOoh oohOoh ooh oohYeah yeah Ooh ooh oohOoh ooh Now close your eyes Instrumental ,Pop
 Cherry Kisses Mm mwah cherry kisses when I m without you No I don t need nobody else with you my booRight now now now now now Cause I m in love so in love I m in love with you bae every dayAnd I can t wait till I taste all of yourCherry kisses kissesCherry kisses Cherry kisses kisses Cherry kisses when you re not around meMy lips get lonelyThey get oh so lonely yeah yeah I m addicted that s right You re my one and onlyYou re my one and only one and only ,Pop
 Drive Pre Chorus I never know Chorus You drive me out of my mind Why don t you stop me now Post Chorus Oh one last time with youKiss me one more time will you Pre Chorus I need you oh Chorus You drive me out of my mind Why don t you stop me now ,Pop
 From Now On Let me see your fantasy So now on I wanna show youFrom now on how much I love you I m gonna make you smile So now on I wanna love youFrom now on I wanna tell you oh oh want you to make me smile  I m sure that you re my destiny So now on I wanna show youFrom now on how much I love you I m gonna make you smile So now on I wanna love youFrom now on I wanna tell you want you to make me smile I m gonna make you smile oh ohYeah I do love youOh ooh ooh ooh ooh ooh ,Pop
 Hangul ,Pop
ImagineTemperature upJust forEmotionsOffset,Pop
HangulHmm Do what u doing doing yeah Let my body work Let my body work all nightImma make it worth All your time all your time Ay I know you move Let me show ya Do it just like that Just like that I ll show you what you like oh Don t keep me waitingDo what u doing doing Keep it upMove like u moving moving Never stop oh So do what u doingDo do do itDo what u doing doing Keep it upMove like u moving moving Never stop oh So do what u doing Ay Hmm Do what u doing doingI ll be ah waiting for ya So get it right now I give you one shot baby We can have a real good time Ay I ll show you what you like oh Don t keep me waitingDo what u doing doing Keep it upMove like u moving moving Never stop oh So do what u doing,Pop
HangulDoo Doo Doop Doo Doo Doop You I don t really mind ah ha He s got show So danger Make me sad So for now I ll enjoy the rideTake a swing with me oh yeah watch your back I got a bad boy bad boy bad boy so bad I got a bad boy bad boy bad boy oh he s so so bad I just can let him go oh Get away boy I don t need you nowOh ha stupid at allHe s got show So danger Make me sad ,Pop
Hangul Romanization,Pop
Stand and hold on tight there babeStep to the rhythm and just feel my vibe hmmSo put your hands on meShu wi du daa wah de dumStomp stomp stomp stomp stomp stompWoo babe let s go ,Pop
HangulOh Oh oh I ll make you mine woo Make them all wanna smile like star oh oh oh ohMake a wishMake a wishO o o o What a blissWhat a blissO o o o Make a wishMake a wish Oh for now I wish upon a starOh Oh sweety boy NoOh sweety boy,Pop
Hangul Pre Chorus Chorus In your hand Pre Chorus Chorus In your hand ,Pop
English Translation rough I don t know where I amIf you can catch what s going on every dayHow long will I stay here alone I will spend another day and fall asleepI stand in front of a mirror all dayWith the same expression every dayIn the same voice every dayI sang all dayLa Lala La LarlaEven if you open your eyesRoom still lightedCould it be done far awayEveryone leavesIn the empty space aloneWithout knowing anythingI do this againI do not know where I amIf you can catch what s going on every dayHow long will I stay here alone I will spend another day and fall asleepThe faces I want to seeIs it like me If you stayIs it greedyStill myToward somethingIf you runIf I really wanted toAmong the many low starsIf only one can bearIs it also greedyAs if there were glittering,Pop
English Translation rough I don t know where I amIf you can catch what s going on every dayHow long will I stay here alone I will spend another day and fall asleepI stand in front of a mirror all dayWith the same expression every dayIn the same voice every dayI sang all dayLa Lala La LarlaEven if you open your eyesRoom still lightedCould it be done far awayEveryone leavesIn the empty space aloneWithout knowing anythingI do this againI do not know where I amIf you can catch what s going on every dayHow long will I stay here alone I will spend another day and fall asleepThe faces I want to seeIs it like me If you stayIs it greedyStill myToward somethingIf you runIf I really wanted toAmong the many low starsIf only one can bearIs it also greedyAs if there were glittering,Pop
La LaLaLa LaLaLa Oh Oh Oh OhLa LaLaLa LaLaLa Oh La LaLaLa LaLaLa Oh Oh Oh Oh La LaLaLa LaLaLa Oh La LaLaLa LaLaLa Oh Oh Oh Oh La LaLaLa LaLaLa Yeah Yeah Yeah Woo wah ,Pop
You don t call me Baby You call me my nameBut I keep on hopingNothing has changedYeah eahWe keep on touchingBut we don t feelFeels like you re lettingYour hands off the wheelAyy What if I just hold on for a while Baby there s no drug quite like denialOh my if this is goodbye Don t leave me loving youBut whatever you doDon t leave me loving youIf you tip toe out in the morningI need a warningIf you don t feel it tooBut whatever you doDon t leave me loving youIf you re out of this when I m all inI need a warning Post Chorus Don t leave me loving you babeWhatever you do bab Don t leave me loving you bab Ooh babe The sun is settingIn purple and blueIs there no gettingCloser to you Yeah eahWaking up strangersCalifornia KingReaching out for youTo bring you to meYeah eah eah,Pop
You turn over the hourglass the sand is falling downOh it s too fast for you oh youDon t waste your love just let it last Cause once it s gone it s never coming backIt s true Could you love me the same Tell me what makes you stay There s a hundred ways to leave a loverLeave a lover leave a loverHundred ways to leave a loverLeave a lover leave a There s a hundred ways to leave a loverI won t wait a minute longerHundred ways to leave But I m the only one that you need It s the final curtain call but if you re readyI will give my all for you for youLet them say it how they wantIf I can love you good it s no one s faultOoh Could you love me the same Tell me what makes you stay There s a hundred ways to leave a loverLeave a lover leave a loverHundred ways to leave a loverLeave a lover leave a There s a hundred ways to leave a loverI won t wait a minute longerHundred ways to leave But I m the only one that you need,Pop
Don t hate me give love a chanceDon t need your heart just need your handsKnew from the start that this won t endDon t you tease me baby please Post Chorus Pretty please pretty pleasePretty please pretty pleasePretty please pretty pleasePretty please pretty please Woo Refrain Woo Don t you tease me baby please I m gon touch if you let meGive me love if you have itNo more talk let me have itSwear now I m readyHad enough I admit itLookin so camera readyGot me feelin some type of way Cause your body is so wavyThis feels too good to let it go ayy Yeah move it move it But I can t let you lock the door mmm Don t hate me give love a chanceDon t need your heart just need your handsKnew from the start that this won t endDon t you tease me baby please Woo Refrain Woo Don t you tease me baby pleaseDon t you tease me baby please,Pop
Miss me with that busy shitMiss me with that I can t stay over tonightI don t want to wait to see youI just want to hug and kiss youAnd I don t know if you know thisYou can work and have funYou can drink and dress niceYou can come back to mineCause you re not dead to the worldYou re caught up in yourselfAnd it s not cool if you curve meOh oh oh ohOh oh ohSo hold on are you really dead to the worldSlow down you re not really dead to the worldRight now I m about to take you to the houseBe under covers lovers dead to the worldYou told me never take your time in vainYou got me living inside the painBaby you can put your phone on th dinner tableGo offline I need your tim I know it s hard but you gotta be patientOhh ohhCuz you re not dead to the worldYou re caught up in yourselfAnd it s not cool if you curve meOh oh oh ohOh oh ohSo hold on are you really dead to the worldSlow down you re not really dead to the worldRight now I m about to take you to the houseBe under covers lovers dead to the world,Pop
Devil in a black dressThey must ve kicked you out of heavenI wish I knew you were an actressI fell in love with your impression Cause now I m staring down a barrelYou got my life in your hands nowYou wanna hit me with an arrowSix seconds till it s man down Seconds till it s man down Locked and loaded finding your targetYou marked itI m the one you ve chosen to hitI m your victimFinger on the triggerI know it s too late to be saved Bullet to the heartBullet to the heartI fell for a strangerWith one in the chamberWho left me for dead and with a scar on my heartBullet to the heartBullet to the heartOh you re so recklessLeaving me breathlessYou go to my head and leave me alone in the dark Post Chorus Bullet to the heartBullet to the heartBullet to the heart Elegant assassinYou spin me around like a revolverA dozen roses on my casketI thought we d end up at the alterBut now you got me going underBlowin kisses to my tombstoneYou already found anotherWish I could tell him all that I know Tell him all that I know ,Pop
If you feel the vibe girl just know that it s realTryna make you my girl have you living illCan you look up in my eyes if you wanna live a thrillIf I do it til I die I ma put you in my will butI m trying to keepMy head on my shoulders woah I m dying to beYour man til it s over or least til I m soberLike can you read my mind girl What is it I want Do I love your body do I love of your train of thoughtYou could never be a side girl only number oneGot me paralyzed yeah with those of pair of eyesI m trying to keepMy head on my shoulders woah I m dying to beYour man til its over or least til I m soberLike ahhhSay the word that you hate meJust so I could know its over when its doneOnly hate the picture when its HDProlly better off just being fun and dumbI won t be there when you finally come aroundAnd I hope I m prepared to leave you on the groundIf you feel the vibe girl jus know that its realTryna make you my girl have you living illCan you look up in my eyes if you wanna live a thrillIf I do it til die I ma put you in my will butI m trying to keepMy head on my shoulders woah I m dying to beYour man til its over or least til I m soberLike can you read my mind girl what is it I wantDo I love your body do I love of your train of thoughtYou could never be a side girl only number oneGot me paralyzed yeah with those of pair of eyesI m trying to keepMy head on my shoulders woah I m dying to beUr man til it s over or least til I m soberLike ahhhIWhatchu want whatchu want whatchu wantI can give it to you I can give it to youSay IWhatchu want whatchu want whatchu wantI can give it to you yeahI can give it to youI m sayin IWhatchu want whatchu want whatchu wantI can give it to you,Pop
Next to your body save a place for meLost in the moment waited patientlyNext to your body save a place for mePlace for mePlace for meDon t lose the beat of the tempoDon t fall too deep in your mentalStart off slow hands and then it s fast paceSay I m your number oneI don t do last placeDon t lose the beat of the tempoDon t fall too deep in your mentalStart off slow hands and then it s fast paceSay I m your number oneI don t do last placeLast placeBaby did I forget to mentionYou re the one that got my attentionLeft that in the past they went missingYou the only star that I wish onI want your ah ah ah ah ah ah ah ahPassion make it burn like that uh huh Waves send shocks all through my bodyThousand little heart attacks ah ha ha Next to your body save a place for meA place for mePlace for meDon t lose the beat of the tempoDon t fall too deep in your mentalStart off slow hands and then it s fast paceSay I m your number oneI don t do last placeDon t lose the beat of the tempoDon t fall too deep in your mentalStart off slow hands and then it s fast paceSay I m your number oneI don t do last placeLast place,Pop
I ain t left the house in three weeksI been on go I been getting too geekedTurn a good girl to a freakHouse a hotel she don t ever wanna leaveDid too much I can t peekWork too much I don t ever get sleepI don t trust nobodyDon t bring nobody new around meGo until we blackoutGo until we go until we go until weGo GoGo until we go until weGo go goGo until we blackoutThink it s time to come back downI don t wanna come back downI don t turn my back nowI don t wanna back outThink it s time to come back downGo until we blackoutGo until we go until we go until weGo GoGo until we go until weGo go goGo until we blackoutTake me outI m sinkin inNothing else matters wh nI m deep withinThe only thing we changin is positionsSo we go up and black outY a I m up there right nowI look down on the cloudsNo storms to throw me around aroundEh ehGo until we blackoutGo until we go until we go until weGo GoGo until we go until weGo go goGo until we blackout,Pop
Let it come oohLet it come oohStarting brand new chapter from today at dawn yeahWe gon make it I know our sun won t go down yeahLet it come oohLet it come oohStarting brand new chapter from today at dawn yeahWe gon make it I know our sun won t go down yeah Keep that addicting smile that you haveYou re my own no doubt for sure I mean what I saidGirl into you now into you nowWish I could say these words to you beside a fireplace nowHold up just hold up baby I ain t no filthy playerYou be the Mara Jade I ll be your SkywalkerEvery perspective of yours is like a magazine coverHope one day the person I give my ring to is youGirl we gon we gon we gon gon reach the paradiseWe are we know for you yeah I will sacrificeGirl we gon we gon we gon gon reach the paradiseWe are we know for you yeah I will sacrifice Let it come oohLet it come oohStarting brand new chapter from today at dawn yeahWe gon make it I know our sun won t go down yeahLet it come oohLet it come oohStarting brand new chapter from today at dawn yeahWe gon make it I know our sun won t go down yeah  Get it on my ride get on my ride sit back and hold on tightFeeling my vibe feeling my vibe I see you in my sightIf you the sun then I hope to be the planets surrounding youTaking selfies with the satellites while I m with youRomeo and Juliet but we don t have to split apartGonna hit the bulls eye anyway believe and throw the dartI cross the amazon let me bring you back to a brand new journeyStarted from day one already I m packed leave it all down to meGirl we gon we gon we gon gon reach the paradiseWe are we know for you yeah I will sacrificeGirl we gon we gon we gon gon reach the paradiseWe are we know for you yeah I will sacrifice Let it come oohLet it come oohStarting brand new chapter from today at dawn yeahWe gon make it I know our sun won t go down yeahLet it come oohLet it come oohStarting brand new chapter from today at dawn yeahWe gon make it I know our sun won t go down yeah,Pop
I keep drinking your poisonAnd I don t know whyI don t know whyI know you see me fallin No I don t know whyI don t know whyI been stalking you all nightI know you ve got him in your sightBut I don t careCause I m still drinking all aloneIt s so hard to sit and lookWhile my girl is getting tookI guess it s bye for the nightCauseI keep drinking your poisonAnd I don t know whyI don t know whyI know you see me fallin No I don t know whyI don t know whyI might not be Mr RightI play back the whole damn nightIt ain t fairYou left me drinking all aloneI don t care how odd this looksCause I m still misunderstoodI ll be fine for the nightCauseI keep drinking your poisonAnd I don t know whyI don t know whyI know you see me fallin No I don t know whyI don t know whyTake me back when the bottle was fullIt made me look like a fool yeaTake me back when the bottle was full yeaI should ve just stood up babyBut I been introverted latelyYou sending texts but acting crazyWhile it could be all amazing so intoxicating,Pop
Bout to send the pin to your phone nowBaby let me know you on the wayHad a long day but I m home nowYou know I can t wait to see your faceYou the truth ooh oohHow are youHow are you ooh oohYou don t gotta pack your bag so soonWon t you stay another nightAll I really wanna do is hold youSay that you ll be mineI want you to live in my bedI want you to live in my my bedYou already live in my my headLive inside my heart insteadI want you to live in my bedI want you to live in my bedYou already live in my headLive inside my heart insteadYou can feel my heart about to flat lineEvery time your kiss is on my mindI keep checkin on your status and your tim lineEverywher you goEverywhere you goYou the truthYou the truth ooh ooh How are youHow are you ooh ooh You don t gotta pack your bag so soonWon t you stay another nightAll I really wanna do is hold youSay that you ll be mineI want you to live in my bedI want you to live in my bedYou already live in my headLive inside my heart insteadI want you to live in my bedI want you to live in my bedYou already live in my headLive inside my heart instead,Pop
Bought a tequila on the rocks ayyCouple shots I couldn t stop ayyAll I could think about was youAll I think about is youStumbling about to drop ayy yeahMore shots couldn t stop ayy yeahAll I could think about was youAll I think about is you Que tal mami Where you been though YeahI see your passe kinda cutthroat yeahBut I ain t tryna start an uproar yeahBut you re the one I saved my love for yeahBut your family never bought it yeahNow your brothers try to stop me yeahWhat the hell did I get into YeahWhen all I want is to be with you yeahGot my problems on my mind like all nightDrinking just tryna get my head rightCouldn t see the signs like a red lightBefore I pour it down I ll say Bought a tequila on the rocks ayyCouple shots I couldn t stop ayyAll I could think about was youAll I d think about is youStumbling about to drop ayy yeahMore shots couldn t stop ayy yeahAll I could think about was youAll I d think about is you Taking shots just to numb the pain Cause it hurts when I hear your nameI don t even wanna close my eyes Cause you re the one I see when I dream at nightI wish I could let the feelings fade Cause it s killing me to live this wayI wish that we never said goodbyeI would die to see you one last time Bought a tequila on the rocks ayyCouple shots I couldn t stop ayyAll I could think about was youAll I think about is youStumbling about to drop ayy yeahMore shots couldn t stop ayy yeahAll I could think about was youAll I think about is you,Pop
Hanzi Original Blazing up all night woah I ll be okay I should let it go You don t have to go far away Okay I told myself that I ll be okay All night I m on my own like Hook I m feeling good right nowI m feeling good right now Good right now I m feeling good right nowI m feeling good right now Skrrt skrrt I m feeling good right nowI m feeling good right now I feel good I feel good I m feeling good right nowI m feeling good right now Good right now Man my vision is blurryI know you out of my zone girlMe captain you are my ferryNow sailing all alone girlMy life is blindfolded locked up in your shadowsYour live with me cropped out of the photosThink I don t knowGirl why you gotta be like this Yeah I m fine I m fine I m fineI tried to get you backTo what it takes but you turned your back on me on meAlright alrightTold myself that I ll be okayDon t worry I m feeling good right nowI m feeling good right now,Pop
I don t want a friend Just one more night I want my life in two My life in two Please one more nightWaiting to get thereWaiting for you Waiting for you Just one more nightI m done fighting all night Pre Chorus When I m around slow dancing in the darkDon t follow me you ll end up in my armsYou done made up your mindI don t need no more signsCan you Can you Give me reasons we should be completeYou should be with him I can t competeYou looked at me like I was someone else oh wellCan t you see Can t you see I don t wanna slow dance I don t wanna slow dance In the dark dark When you gotta runJust hear my voice in you My voice in you Shutting me out you Shutting me out Doing so great So great so great You,Pop
Lately I can t help but thinkThat our roads might take us down different phasesDon t wanna complicate the rhythm that we ve gotBut I m speechlessWhen everything s so pure can it be aimless Painless If you ever go all the songs that we likeWill sound like bittersweet lullabies Lost in the blueThey don t love me like you doThose chills that I knewThey were nothing without youAnd everyone elseThey don t matter nowYou re the one I can t loseNo one loves me like you do Since I met youAll the gloomy days just seem to shine a little more brightlyConsider what we ve got Cause I can never take you for grantedIs there another us on this whole planet Planet If you ever go all the songs that we likeWill sound like bittersweet lullabies Lost in the blueThey don t love me like you doThose chills that I knewThey were nothing without youAnd everyone elseThey don t matter nowYou re the one I can t loseNo one loves me like you do,Pop
